"","x","y","Bungarus_caeruleus.AI.model","Bungarus_ceylonicus.AI.model","Daboia_russellii.AI.model","Echis_carinatus.PPM.model","Hypnale_spp.AI.model","Naja_naja.AI.model","Trimeresurus_trigonocephalus.AI.model","Sum","Agressiv","Severity","Agr.Sev","hum.pop","envenomings","bites","land.cover"
"92",383382.570567719,778876.488324056,7.59538756334166e-08,8.48741063731338e-13,1.17732427973305e-08,0,4.67692466699088e-09,3.10706166350982e-08,2.08411785008675e-11,1.23496349652401e-07,4.48341919302946e-07,1.20203745324856e-06,4.15490904270105e-06,2133.94181074848,0.00234682996978276,0.00201966970962248,3
"94",433927.570567719,778876.488324056,1.78485294544117e-07,7.13611624473539e-12,1.5112649531801e-07,1.19186169378338e-07,1.00976991435076e-07,3.00650175866224e-07,6.60151847076129e-09,8.57033781128771e-07,5.31048128603838e-06,7.20815435811364e-06,3.97206329935905e-05,657.002021844008,0.0023675724558763,0.00283049655994052,3
"95",438522.570567719,778876.488324056,1.99977383097405e-07,1.68479361863615e-11,1.76011521357822e-07,8.57980513302437e-08,1.19935872788801e-07,3.44527573581388e-07,3.90457900734109e-09,9.30171829099187e-07,5.611468368135e-06,7.99803571375297e-06,4.32184227532254e-05,1288.91446956418,0.00236556129213523,0.00262638943755146,3
"97",456902.570567719,778876.488324056,9.44564444438356e-08,5.90865056941626e-12,5.41380473784159e-08,1.11487988618819e-07,2.77255691738532e-08,1.2380154901237e-07,7.24319510619909e-10,4.12339826788483e-07,2.63751241661786e-06,3.36536046497818e-06,1.88208216394945e-05,306.942554783473,0.00236969435211953,0.0022375401689099,3
"98",461497.570567719,778876.488324056,1.01462592105861e-07,3.07521241578337e-13,4.84026814184801e-08,1.59557449919134e-07,2.44212103872599e-08,6.29514829153521e-08,1.75437898236597e-09,3.98550103249695e-07,2.7552172346157e-06,3.00097589934917e-06,1.77700786580444e-05,378.235577080083,0.00236176748140423,0.00306485646974019,3
"99",466092.570567719,778876.488324056,7.57247073934764e-08,2.37824127389099e-13,3.5810612031284e-08,6.38581374445835e-08,1.80314453368524e-08,5.58839317044146e-08,6.0335660079236e-10,2.49912428335531e-07,1.53987017480254e-06,2.04818326936729e-06,1.09110124457738e-05,783.03689007245,0.00236782556296312,0.00211999810462431,3
"100",470687.570567719,778876.488324056,1.60159487894163e-07,7.76160375798004e-13,8.5226316670628e-08,2.7842728123062e-08,4.44893949458347e-08,9.98694591469729e-08,3.75117501644207e-09,4.21339337957478e-07,2.24730586183621e-06,3.72899339919065e-06,1.77641011151127e-05,471.731826600716,0.00239475707524306,0.00212228255331851,3
"103",383382.570567719,774266.488324056,7.49911568398431e-08,7.56116103430883e-13,1.38667704541184e-08,5.7914907891643e-07,5.45680173269503e-09,4.34287721340354e-08,1.93183029252239e-11,7.16912654496151e-07,6.32423581040772e-06,4.23500967352416e-06,3.3901884848609e-05,1761.77359292839,0.00231906404529414,0.00284670556235493,3
"105",438522.570567719,774266.488324056,2.32684164824803e-07,2.37227146021764e-11,1.69973233266063e-07,3.54223002041465e-07,1.41531160124941e-07,2.40769060688706e-07,1.5385146573399e-08,1.15458949023398e-06,8.0788757230407e-06,8.64559545209729e-06,5.23396280046243e-05,1394.15110750202,0.00239197945951059,0.00324262525434373,3
"106",443117.570567719,774266.488324056,1.5408899223246e-07,9.49357112935395e-12,1.42045829765181e-07,2.31633383585006e-07,9.76274738828664e-08,3.44627033133094e-07,2.8682123412449e-09,9.7290041851098e-07,6.47750713054915e-06,7.8616310389335e-06,4.62045954880134e-05,500.218543645697,0.00240228832534298,0.0030424190278826,3
